date,geography,variable,estimate,geography_type,share,metric,grouping
2022-04-01,King,BEV (Battery Electric Vehicle),1247,County,0.1093859649122807,New Vehicle Registrations,All
2022-04-01,King,HEV (Hybrid Electric Vehicle),1229,County,0.10780701754385964,New Vehicle Registrations,All
2022-04-01,King,ICE (Internal Combustion Engine),8741,County,0.7667543859649123,New Vehicle Registrations,All
2022-04-01,King,PHEV (Plug-in Hybrid Electric Vehicle),183,County,0.016052631578947367,New Vehicle Registrations,All
2022-04-01,Kitsap,BEV (Battery Electric Vehicle),67,County,0.04820143884892086,New Vehicle Registrations,All
2022-04-01,Kitsap,HEV (Hybrid Electric Vehicle),101,County,0.07266187050359713,New Vehicle Registrations,All
2022-04-01,Kitsap,ICE (Internal Combustion Engine),1205,County,0.8669064748201439,New Vehicle Registrations,All
2022-04-01,Kitsap,PHEV (Plug-in Hybrid Electric Vehicle),17,County,0.01223021582733813,New Vehicle Registrations,All
2022-04-01,Pierce,BEV (Battery Electric Vehicle),181,County,0.040592061000224264,New Vehicle Registrations,All
2022-04-01,Pierce,HEV (Hybrid Electric Vehicle),367,County,0.08230544965238842,New Vehicle Registrations,All
2022-04-01,Pierce,ICE (Internal Combustion Engine),3880,County,0.8701502579053599,New Vehicle Registrations,All
2022-04-01,Pierce,PHEV (Plug-in Hybrid Electric Vehicle),31,County,0.006952231442027361,New Vehicle Registrations,All
2022-04-01,Snohomish,BEV (Battery Electric Vehicle),295,County,0.07696321419253849,New Vehicle Registrations,All
2022-04-01,Snohomish,HEV (Hybrid Electric Vehicle),366,County,0.09548656404904775,New Vehicle Registrations,All
2022-04-01,Snohomish,ICE (Internal Combustion Engine),3124,County,0.8150273936864075,New Vehicle Registrations,All
2022-04-01,Snohomish,PHEV (Plug-in Hybrid Electric Vehicle),48,County,0.012522828072006262,New Vehicle Registrations,All
2022-04-01,Region,BEV (Battery Electric Vehicle),1790,PSRC Region,0.08490655535527938,New Vehicle Registrations,All
2022-04-01,Region,HEV (Hybrid Electric Vehicle),2063,PSRC Region,0.09785599089270468,New Vehicle Registrations,All
2022-04-01,Region,ICE (Internal Combustion Engine),16950,PSRC Region,0.8040034152357461,New Vehicle Registrations,All
