NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
90016,"Golden Gate Bridge, Highway and Transportation District",SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission,"Golden Gate Bridge, Highway and Transportation District"
90017,City of Santa Rosa,SANTA ROSA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Santa Rosa
90019,Sacramento Regional Transit District,SACRAMENTO,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments,Sacramento Area Council of Governments
90022,City of Norwalk ,NORWALK,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90023,Long Beach Transit,LONG BEACH,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90024,City of La Mirada ,LA MIRADA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90026,San Diego Metropolitan Transit System,SAN DIEGO,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90028,City of Vallejo Transportation Program,Vallejo,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission,City of Vallejo Transportation Program
90029,Omnitrans,SAN BERNARDINO,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90030,North County Transit District,OCEANSIDE,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
90031,Riverside Transit Agency,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90032,City of Phoenix Public Transit Department ,PHOENIX,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Phoenix Public Transit Department 
90034,City of Glendale ,GLENDALE,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments,City of Glendale 
90035,Gold Coast Transit District,OXNARD,CA,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90036,Orange County Transportation Authority,ORANGE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90039,City of Culver City,CULVER CITY,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90041,City of Montebello,MONTEBELLO,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90042,City of Gardena,Gardena,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90043,City of Commerce,COMMERCE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90044,City of Arcadia,ARCADIA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90050,City of Simi Valley,SIMI VALLEY,CA,"Simi Valley, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90052,City of Corona,CORONA,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90054,"San Diego Trolley, Inc.",San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments,San Diego Association of Governments
